ultimate_parent_rcid,firm_name,total_postings,total_genai_integrator_posts
6695254,Supreme HR Advisory Pte Ltd.,74869,468
5827656,Recruit Express (Malaysia),36632,166
93292330,ABM Industries,18055,418
1133458,Persolkelly Pte Ltd.,16987,189
647749,CapitaLand Group Pte Ltd.,16114,85
369884,Randstad NV,15080,155
1393437,Adecco Group AG,11860,156
1134784,"ManpowerGroup, Inc.",11001,120
2591840,Career Edge Asia Pte Ltd,10367,89
5828166,RecruitPedia,9680,104
92861848,University of Singapore,9255,136
730099,Good Job Creations (Singapore) Pte Ltd.,9185,27
7664605,Anradus Pte Ltd,9059,46
5827653,RECRUIT EXPERT PTE LTD,8403,27
99044002,"TikTok, Inc.",8306,630
6841850,Trust Recruit Pte Ltd,8165,50
93864272,EA Recruitment Pte Ltd,7963,4
999336,Singapore Telecommunications Ltd.,7843,85
20931107,DBS Bank Ltd.,7225,86
21254292,Citigroup Foundation,7129,32
5500850,People Profilers,7109,75
971288,PageGroup Plc,6958,26
76879,NodeFlair Pte Ltd.,6492,264
22224363,NTUC FairPrice Co-Operative Ltd.,6278,168
22145588,United Overseas Bank Ltd. (Broker),6211,68
23765780,St Engineering Pte Ltd.,6131,67
5920532,Rk Recruitment Pte Ltd.,5987,74
984103,OCBC Bank (Malaysia) Bhd.,5731,34
22145593,Standard Chartered Bank Ltd.,5547,67
100941789,Nanyang Technological University,5438,119
7009856,Hemmersbach GmbH & Co. KG,5401,153
1301557,Ernst & Young Global Ltd.,5257,6
6527145,Talent Traders,5244,113
343770,Hays plc,5219,45
3147817,Direct Search Global,5022,52
22144130,"Lexisnexis Risk Solutions, Inc.",4289,112
93210878,ITCAN,4234,16
23341472,Staffking Pte Ltd,3873,29
6374117,Stafflink Services Pte Ltd.,3843,97
74001,China Communications Construction Co. Ltd.,3803,28
726113,Talent Trader Group Pte Ltd.,3768,52
12798884,Gmp Group SA,3743,48
6092516,Search Personnel,3728,44
8299119,Aber Care Pte Ltd.,3717,1
1096494,"Micron Technology, Inc.",3602,56
19592728,TRITON AI PTE LTD,3556,24
84231,"Southeastern Archaeological Research, Inc.",3552,13
