ultimate_parent_rcid,firm_name,total_postings,total_genai_integrator_posts,is_definite_recruiter
5827656,Recruit Express (Malaysia),36632,166,True
1133458,Persolkelly Pte Ltd.,16987,189,True
369884,Randstad NV,15080,155,True
1393437,Adecco Group AG,11860,156,True
1134784,"ManpowerGroup, Inc.",11001,120,True
2591840,Career Edge Asia Pte Ltd,10367,89,True
5828166,RecruitPedia,9680,104,True
730099,Good Job Creations (Singapore) Pte Ltd.,9185,27,True
7664605,Anradus Pte Ltd,9059,46,True
6841850,Trust Recruit Pte Ltd,8165,50,True
93864272,EA Recruitment Pte Ltd,7963,4,True
5500850,People Profilers,7109,75,True
971288,PageGroup Plc,6958,26,True
76879,NodeFlair Pte Ltd.,6492,264,True
5920532,Rk Recruitment Pte Ltd.,5987,74,True
343770,Hays plc,5219,45,True
20921708,"Robert Half, Inc.",2649,6,True
2511752,Business Edge Personnel Services Pte Ltd.,2552,10,True
1016226,Robert Walters Plc,2452,6,True
1794367,ACHIEVE Career Consultant (M) Sdn Bhd,1626,20,True
946269,"RGF Environmental Group, Inc.",1499,14,True
970650,"Pasona NA, Inc.",1437,4,True
23776257,Cloud Recruitment,750,0,True
15146568,Manpower Advisors Pte Ltd.,715,19,True
98303450,Star Career Consulting,707,5,True
19623453,TSTAR Recruit Pte. Ltd.,531,0,True
8378730,Active Manpower Resources Pte Ltd,514,2,True
19729329,UNION MANPOWER SERVICES PTE LTD,508,2,True
9057248,Asia Pacific Manpower,491,1,True
1410875,Ghana Ministry of Manpower Development & Social Welfare,388,1,True
22656018,RGF Srl,361,2,True
1391698,JobPlus Employment Agency,358,1,True
6260721,S & P MANPOWER AGENCY PTE. LTD.,320,3,True
23336470,Spearing Executive Search Pte Ltd,271,1,True
2041170,A PLUS MANPOWER SERVICES,249,2,True
2748460,City Manpower Consultancy,244,0,True
1445985,"Hudson Global, Inc.",241,1,True
15146704,Manpower Link,220,0,True
4826843,Manpower Access Pte Ltd.,203,7,True
27711398,V Resource Manpower Pte Ltd,202,0,True
1261648,Seacare Manpower Services Pte Ltd.,200,0,True
99392748,Richdale International Executive Search Pte. Ltd.,163,2,True
657640,RGF Professional Recruitment,162,1,True
20250916,WHIZ LINK MANPOWER,158,1,True
97373221,Link2 Manpower Pte Ltd,154,0,True
800198,Korn Ferry,146,1,True
