ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
68,Westinghouse Air Brake Technologies Corp.,0,,7,0,2022-06-01,2024-08-28,0.0,819
132,"Blue Rock Construction, Inc.",0,,17,0,2023-10-17,2024-12-11,0.0,421
146,Haulio Pte Ltd.,0,,119,0,2021-05-06,2024-11-01,0.0,1275
157,Potato Productions,0,,5,0,2021-12-13,2024-08-29,0.0,990
218,"CBRE Group, Inc.",1,2021-03-15,2023,45,2021-03-02,2024-12-31,0.022244191794364803,1400
230,Shamlatech,0,,2,0,2024-05-26,2024-06-28,0.0,33
398,"Talent Plus, Inc.",1,2021-01-19,6,1,2021-01-19,2022-08-29,0.16666666666666666,587
644,"Graebel Cos., Inc.",1,2024-04-06,25,1,2021-05-04,2024-11-07,0.04,1283
722,Vortex Engineering Pvt Ltd.,0,,24,0,2021-01-18,2024-10-02,0.0,1353
799,"Sumo Logic, Inc.",0,,6,0,2023-01-24,2024-03-19,0.0,420
855,Indeco Engineers Pte Ltd.,1,2024-11-25,112,1,2021-02-01,2024-11-27,0.008928571428571428,1395
913,Mann & Noble,0,,1,0,2023-01-19,2023-01-19,0.0,0
923,"Marine Harvest Canada, Inc.",0,,5,0,2021-03-11,2022-08-15,0.0,522
954,Respiree,0,,32,0,2021-08-14,2024-11-04,0.0,1178
955,imc information multimedia communication AG,0,,10,0,2021-10-19,2024-08-14,0.0,1030
1120,"Athletic Greens (USA), Inc.",0,,1,0,2023-03-01,2023-03-01,0.0,0
1370,"Pinterest, Inc.",1,2024-09-18,42,1,2021-07-06,2024-12-23,0.023809523809523808,1266
1545,Dynamic Data Concepts LLC,0,,3,0,2021-11-20,2023-09-04,0.0,653
1554,"PubMatic, Inc.",0,,30,0,2021-10-08,2024-10-28,0.0,1116
1628,The Crypto Co.,0,,1,0,2022-11-09,2022-11-09,0.0,0
1692,Oriental Merchant Pty Ltd.,0,,13,0,2024-07-31,2024-12-30,0.0,152
1722,Alifedesign,0,,13,0,2022-08-26,2024-11-06,0.0,803
1723,Science Centre Singapore,0,,315,0,2021-01-07,2024-12-19,0.0,1442
1776,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",0,,7,0,2022-01-13,2022-08-27,0.0,226
1788,Heuristix Digital Technologies Pvt Ltd.,0,,2,0,2021-08-27,2022-06-01,0.0,278
1792,Acsent SAS,0,,4,0,2021-03-17,2022-11-22,0.0,615
1803,Glife Technologies Pte Ltd.,0,,44,0,2021-12-23,2024-10-08,0.0,1020
1837,The Movement for Non-Mobile Children (Whizz-Kidz),0,,54,0,2021-04-06,2024-12-11,0.0,1345
1971,Brady Corporation Asia Pte Ltd.,0,,14,0,2021-03-02,2024-01-24,0.0,1058
1988,"McDermott International, Inc.",0,,4,0,2022-11-14,2024-11-08,0.0,725
2202,"Regent Group, Inc.",0,,1,0,2024-06-22,2024-06-22,0.0,0
2402,Unicon A/S,0,,1,0,2024-03-07,2024-03-07,0.0,0
2599,Alphasearch,0,,153,0,2021-10-08,2024-07-16,0.0,1012
2623,BAE Systems Applied Intelligence Ltd.,0,,21,0,2021-03-04,2022-10-27,0.0,602
2665,Moving Walls Pte Ltd.,0,,4,0,2021-08-05,2024-12-19,0.0,1232
2677,Stepan Co.,0,,1,0,2022-05-30,2022-05-30,0.0,0
2687,Aigens Technology Ltd.,0,,5,0,2021-04-30,2024-09-27,0.0,1246
2776,Integrated Packaging Solutions LLC,1,2024-06-21,11,1,2022-10-27,2024-09-03,0.09090909090909091,677
2834,Blockchain Founders Fund,0,,1,0,2022-03-07,2022-03-07,0.0,0
2860,Sto SEA Pte Ltd.,1,2023-06-22,6,1,2021-05-17,2024-03-21,0.16666666666666666,1039
3246,Icare BV,0,,14,0,2021-07-01,2022-02-24,0.0,238
3275,Spinnaker Support LLC,0,,5,0,2022-09-28,2024-10-02,0.0,735
3500,"LogRhythm, Inc.",0,,20,0,2021-03-10,2024-10-25,0.0,1325
3677,Tony Blair Institute,0,,29,0,2023-04-04,2024-12-02,0.0,608
3957,"Kaira Technologies, Inc.",0,,1,0,2021-09-29,2021-09-29,0.0,0
4179,Hayleys Advantis Ltd.,0,,2,0,2024-10-06,2024-10-07,0.0,1
4223,Crov INC,0,,4,0,2022-07-15,2023-02-27,0.0,227
4302,Employment & Employability Institute Pte Ltd.,0,,168,0,2021-07-01,2024-12-24,0.0,1272
4481,University of Macau,0,,2,0,2024-03-12,2024-06-04,0.0,84
4556,Jon Michel Pty Ltd.,0,,1,0,2021-09-02,2021-09-02,0.0,0
4686,"Mobilewalla, Inc.",0,,4,0,2022-03-03,2024-01-30,0.0,698
4868,Rapsodo Pte Ltd.,0,,206,0,2021-03-04,2024-12-26,0.0,1393
5017,IG Group Ltd.,0,,9,0,2022-02-22,2024-10-22,0.0,973
5120,PT Icart Group Indonesia,1,2022-07-26,15,1,2021-03-04,2022-07-26,0.06666666666666667,509
5257,Creative Labs Pte Ltd.,0,,44,0,2021-08-30,2024-11-22,0.0,1180
5331,Sia Ardora,1,2021-09-30,455,6,2021-03-20,2024-10-04,0.013186813186813187,1294
5482,Integratech Ltd.,0,,2,0,2022-09-21,2022-11-11,0.0,51
5511,AsiaPay Ltd.,0,,4,0,2022-12-06,2024-09-30,0.0,664
5887,Fortune Court Holdings Ltd.,0,,3,0,2022-01-04,2023-06-21,0.0,533
6026,"Veeva Systems, Inc.",0,,107,0,2021-03-25,2024-12-16,0.0,1362
6112,Sme Centre@Sicci,0,,5,0,2022-01-13,2023-01-16,0.0,368
6189,Ming Labs GmbH,1,2021-12-22,17,1,2021-10-15,2022-12-20,0.058823529411764705,431
6304,Nas Education Pte Ltd,0,,30,0,2021-04-09,2023-10-18,0.0,922
6530,Donson Machine Co.,0,,1,0,2023-10-16,2023-10-16,0.0,0
6549,"Lindamood-Bell Learning Processes, Inc.",1,2021-08-11,6,2,2021-03-19,2023-03-10,0.3333333333333333,721
6604,Rype Online Services Pvt Ltd.,0,,2,0,2022-09-20,2022-09-20,0.0,0
6648,SAFLINK Corp.,0,,4,0,2022-08-15,2023-12-06,0.0,478
6902,"China Labor Watch, Inc.",0,,1,0,2022-11-30,2022-11-30,0.0,0
6904,"Vantage Associates, Inc.",0,,4,0,2022-01-11,2024-05-03,0.0,843
7140,"ProMinent Fluid Controls, Inc.",0,,4,0,2022-09-16,2024-12-24,0.0,830
7239,Qrata,0,,2,0,2023-05-05,2024-02-23,0.0,294
7323,Noble Academy,0,,9,0,2022-10-28,2024-09-09,0.0,682
7375,"Marriott International, Inc.",1,2021-03-05,1063,24,2021-03-01,2024-12-26,0.022577610536218252,1396
7432,Hypebeast Ltd.,0,,5,0,2021-03-22,2024-09-20,0.0,1278
7479,Dragages et TP (Hong-Kong) Ltd.,1,2021-11-10,78,1,2021-04-06,2024-12-04,0.01282051282051282,1338
7538,Treedots Enterprise Pte Ltd.,1,2021-03-25,751,6,2021-03-03,2024-08-28,0.007989347536617843,1274
7559,"JN Engineering, Inc.",0,,3,0,2021-07-02,2022-08-19,0.0,413
7824,Sleekflow Technologies Ltd.,0,,2,0,2023-10-08,2023-10-20,0.0,12
7917,"Ingram Micro, Inc.",1,2022-05-26,178,5,2021-03-24,2024-10-27,0.028089887640449437,1313
7957,Funding Societies Pte Ltd.,1,2024-10-25,242,1,2021-04-14,2024-12-30,0.004132231404958678,1356
8387,"OTC Markets Group, Inc.",0,,3,0,2024-01-25,2024-11-22,0.0,302
8403,Teng Huat Jewellery Pte Ltd.,0,,1,0,2021-10-08,2021-10-08,0.0,0
8437,Inkitt GmbH,0,,1,0,2023-10-11,2023-10-11,0.0,0
8545,Alchemy FoodTech Pte Ltd.,1,2021-03-29,70,1,2021-03-01,2024-10-19,0.014285714285714285,1328
8648,"Bausch & Lomb, Inc.",1,2022-05-14,3,2,2022-05-14,2024-03-18,0.6666666666666666,674
9044,Botsync Pte Ltd.,0,,30,0,2021-06-29,2024-12-10,0.0,1260
9047,"Catalyst Marketing, Inc.",0,,7,0,2021-03-25,2024-09-21,0.0,1276
9088,Golden Law PC,0,,3,0,2022-06-15,2022-06-15,0.0,0
9235,Mach49 LLC,0,,8,0,2021-06-24,2024-03-22,0.0,1002
9428,Bigfoot GmbH,0,,6,0,2021-05-15,2021-06-15,0.0,31
9695,Amplus Communication Pte Ltd.,1,2022-06-21,226,2,2021-03-03,2024-12-31,0.008849557522123894,1399
9727,Pan Asia Risk & Insurance Management Association,0,,3,0,2021-11-19,2022-11-30,0.0,376
9833,Bomanbridge Media Pte Ltd.,0,,4,0,2022-02-14,2024-08-22,0.0,920
9910,Prestige International Inc.,0,,3,0,2024-02-06,2024-12-10,0.0,308
10002,Liquid Personnel Ltd.,0,,3,0,2023-03-08,2023-04-11,0.0,34
10110,Neptune Robotics Ltd.,0,,6,0,2024-09-04,2024-11-20,0.0,77
10460,SK Energy International Pte Ltd.,0,,1,0,2024-01-17,2024-01-17,0.0,0
10528,Mirai Medical Ltd.,0,,9,0,2022-01-15,2024-07-29,0.0,926
10588,AV MEDIA as,1,2024-07-22,111,2,2021-09-01,2024-12-24,0.018018018018018018,1210
10677,Obelisk Communications Ltd.,0,,26,0,2021-11-01,2024-12-20,0.0,1145
10747,Shimizu Corp.,0,,213,0,2021-03-03,2024-12-13,0.0,1381
10782,"Unipack, Inc.",0,,4,0,2022-05-11,2024-02-16,0.0,646
10795,Parameta Corp.,0,,3,0,2023-05-15,2024-04-05,0.0,326
10881,Tenement Museum,0,,62,0,2021-03-09,2024-12-19,0.0,1381
10920,WTS Energy Holding BV,0,,5,0,2022-12-12,2024-03-26,0.0,470
11090,Wide Area Communications Ltd.,0,,1,0,2024-10-17,2024-10-17,0.0,0
11224,Advend Systems Pte Ltd.,0,,152,0,2021-07-02,2024-12-18,0.0,1265
11247,Super Genius Games Pte Ltd.,0,,1,0,2022-08-25,2022-08-25,0.0,0
11250,Kobelco Industrial Machinery India Pvt Ltd.,0,,4,0,2023-01-27,2024-11-07,0.0,650
11280,Fluidlytix LLC,0,,1,0,2021-11-27,2021-11-27,0.0,0
11485,Church of the Ascension,0,,6,0,2021-06-08,2024-10-09,0.0,1219
11627,Sing Fuels Pte Ltd.,0,,38,0,2021-12-16,2024-07-09,0.0,936
11710,Australian Property Group Pte Ltd.,0,,4,0,2022-02-07,2024-11-20,0.0,1017
11816,UV Resources LLC,0,,14,0,2021-12-27,2024-12-16,0.0,1085
11862,Novadax,0,,1,0,2023-04-15,2023-04-15,0.0,0
11884,ba&sh SAS,0,,2,0,2023-10-24,2024-04-03,0.0,162
