ultimate_parent_rcid,firm_name,ever_genai,first_genai_date,total_postings,total_genai_integrator_posts,first_post_date,last_post_date,share_genai_integrator_posts,active_days
6695254,Supreme HR Advisory Pte Ltd.,1,2022-01-03,74869,468,2022-01-03,2024-12-31,0.006250918270579279,1093
5827656,Recruit Express (Malaysia),1,2022-01-13,36632,166,2022-01-01,2024-12-31,0.004531557108538982,1095
93292330,ABM Industries,1,2022-01-06,18055,418,2022-01-03,2024-12-31,0.02315148158404874,1093
1133458,Persolkelly Pte Ltd.,1,2022-01-22,16987,189,2022-01-03,2024-12-31,0.011126155295225761,1093
647749,CapitaLand Group Pte Ltd.,1,2022-02-07,16114,85,2022-01-01,2024-12-31,0.005274916221918828,1095
369884,Randstad NV,1,2022-01-08,15080,155,2022-01-01,2024-12-30,0.010278514588859417,1094
1393437,Adecco Group AG,1,2022-01-05,11860,156,2022-01-01,2024-12-31,0.01315345699831366,1095
1134784,"ManpowerGroup, Inc.",1,2022-01-12,11001,120,2022-01-01,2024-12-31,0.0109080992637033,1095
2591840,Career Edge Asia Pte Ltd,1,2022-01-17,10367,89,2022-01-04,2023-02-17,0.008584932960354973,409
5828166,RecruitPedia,1,2022-01-05,9680,104,2022-01-04,2024-12-31,0.010743801652892562,1092
92861848,University of Singapore,1,2022-02-23,9255,136,2022-01-03,2024-11-24,0.01469475958941113,1056
730099,Good Job Creations (Singapore) Pte Ltd.,1,2022-01-10,9185,27,2022-01-04,2024-12-26,0.002939575394665215,1087
7664605,Anradus Pte Ltd,1,2022-06-03,9059,46,2022-01-02,2024-12-30,0.005077823159289105,1093
5827653,RECRUIT EXPERT PTE LTD,1,2022-01-21,8403,27,2022-01-04,2024-12-31,0.0032131381649410924,1092
99044002,"TikTok, Inc.",1,2022-01-13,8306,630,2022-01-01,2024-12-31,0.07584878401155791,1095
6841850,Trust Recruit Pte Ltd,1,2022-07-03,8165,50,2022-01-02,2024-12-31,0.00612369871402327,1094
93864272,EA Recruitment Pte Ltd,1,2022-07-15,7963,4,2022-01-03,2024-12-30,0.0005023232450081628,1092
999336,Singapore Telecommunications Ltd.,1,2022-01-18,7843,85,2022-01-03,2024-12-31,0.010837689659569043,1093
20931107,DBS Bank Ltd.,1,2022-03-22,7225,86,2022-01-03,2024-12-31,0.011903114186851211,1093
21254292,Citigroup Foundation,1,2022-01-04,7129,32,2022-01-01,2024-12-28,0.004488708093701782,1092
5500850,People Profilers,1,2022-01-02,7109,75,2022-01-01,2024-12-31,0.010550007033338022,1095
971288,PageGroup Plc,1,2022-02-22,6958,26,2022-01-03,2024-12-12,0.0037367059499856282,1074
76879,NodeFlair Pte Ltd.,1,2024-01-16,6492,264,2022-01-20,2024-06-27,0.04066543438077634,889
22224363,NTUC FairPrice Co-Operative Ltd.,1,2022-01-18,6278,168,2022-01-03,2024-12-23,0.0267601146862058,1085
22145588,United Overseas Bank Ltd. (Broker),1,2022-03-05,6211,68,2022-01-01,2024-12-31,0.010948317501207535,1095
23765780,St Engineering Pte Ltd.,1,2022-01-04,6131,67,2022-01-03,2024-12-30,0.010928070461588647,1092
5920532,Rk Recruitment Pte Ltd.,1,2022-07-21,5987,74,2022-01-02,2024-12-27,0.01236011357942208,1090
984103,OCBC Bank (Malaysia) Bhd.,1,2022-01-21,5731,34,2022-01-03,2024-12-31,0.005932647007503054,1093
22145593,Standard Chartered Bank Ltd.,1,2022-01-11,5547,67,2022-01-03,2024-12-31,0.012078601045610239,1093
100941789,Nanyang Technological University,1,2022-05-30,5438,119,2022-01-04,2024-12-30,0.021883045237219567,1091
7009856,Hemmersbach GmbH & Co. KG,1,2024-01-06,5401,153,2022-05-19,2024-10-26,0.028328087391223847,891
1301557,Ernst & Young Global Ltd.,1,2023-03-22,5257,6,2022-01-11,2024-12-31,0.0011413353623739774,1085
6527145,Talent Traders,1,2022-08-07,5244,113,2022-01-01,2024-12-29,0.02154843630816171,1093
343770,Hays plc,1,2022-04-04,5219,45,2022-01-03,2024-12-30,0.008622341444721212,1092
3147817,Direct Search Global,1,2022-02-11,5022,52,2022-01-04,2024-12-11,0.010354440461967344,1072
22144130,"Lexisnexis Risk Solutions, Inc.",1,2022-01-11,4289,112,2022-01-03,2024-12-10,0.02611331312660294,1072
93210878,ITCAN,1,2022-01-13,4234,16,2022-01-05,2024-12-31,0.003778932451582428,1091
23341472,Staffking Pte Ltd,1,2023-06-03,3873,29,2022-01-01,2024-12-31,0.007487735605473793,1095
6374117,Stafflink Services Pte Ltd.,1,2022-01-08,3843,97,2022-01-03,2024-12-26,0.025240697371844912,1088
74001,China Communications Construction Co. Ltd.,1,2022-06-15,3803,28,2022-01-01,2024-12-31,0.007362608466999737,1095
726113,Talent Trader Group Pte Ltd.,1,2022-02-08,3768,52,2022-01-04,2024-12-24,0.013800424628450107,1085
12798884,Gmp Group SA,1,2022-01-03,3743,48,2022-01-03,2024-11-23,0.012823938017632914,1055
6092516,Search Personnel,1,2022-01-15,3728,44,2022-01-04,2024-12-30,0.011802575107296138,1091
8299119,Aber Care Pte Ltd.,1,2022-11-16,3717,1,2022-01-05,2024-12-27,0.0002690341673392521,1087
1096494,"Micron Technology, Inc.",1,2022-01-22,3602,56,2022-01-03,2024-12-31,0.015546918378678512,1093
19592728,TRITON AI PTE LTD,1,2022-03-22,3556,24,2022-01-04,2024-12-30,0.006749156355455568,1091
84231,"Southeastern Archaeological Research, Inc.",1,2022-05-11,3552,13,2022-01-01,2024-12-30,0.00365990990990991,1094
65190,Zenith Infotech (S) Pte Ltd.,1,2022-03-13,3230,16,2022-01-03,2024-12-31,0.004953560371517028,1093
638503,Chase,1,2022-04-13,3193,6,2022-01-01,2022-11-14,0.0018791105543376136,317
1211046,Scientec Pte Ltd.,1,2022-06-08,3165,24,2022-01-04,2024-12-31,0.007582938388625593,1092
424666,National Healthcare Group Pte Ltd.,1,2022-06-23,3127,16,2022-01-06,2024-12-31,0.005116725295810681,1090
3584590,Flintex Consulting Pte Ltd,1,2022-02-18,3121,72,2022-01-01,2024-10-10,0.02306952899711631,1013
3326527,Elitez,1,2022-06-23,3094,18,2022-01-04,2024-12-30,0.005817711700064641,1091
501621,Morgan McKinley,1,2022-01-21,3073,19,2022-01-04,2024-12-26,0.006182883176049463,1087
93679199,Message Paris,1,2022-03-22,3044,22,2022-01-04,2024-12-18,0.007227332457293035,1079
398197,NTT Ltd. (United Kingdom),1,2022-01-25,3013,35,2022-01-02,2024-12-30,0.011616329239960173,1093
